product_sk,product_id,product_name,category,brand,origin_location
1,PROD_00001,Bravia X90J TV,Electronics,Sony,Kansas City
2,PROD_00002,WH-1000XM4 Headphones,Electronics,Sony,San Francisco
3,PROD_00003,PlayStation 5,Electronics,Sony,San Jose
4,PROD_00004,4K Blu-ray Player,Electronics,Sony,Los Angeles
5,PROD_00005,Noise Cancelling Earbuds,Electronics,Sony,Memphis
6,PROD_00006,Smart Watch,Electronics,Sony,Charlotte
7,PROD_00007,Bluetooth Speaker,Electronics,Sony,Indianapolis
8,PROD_00008,Galaxy S21,Electronics,Samsung,Houston
9,PROD_00009,Galaxy Tab S8,Electronics,Samsung,Sacramento
10,PROD_00010,QLED 4K TV,Electronics,Samsung,San Jose
11,PROD_00011,Smartwatch Active,Electronics,Samsung,Seattle
12,PROD_00012,Galaxy Buds Pro,Electronics,Samsung,Arlington
13,PROD_00013,Portable SSD,Electronics,Samsung,Seattle
14,PROD_00014,Smart Fridge,Electronics,Samsung,Milwaukee
15,PROD_00015,iPhone 14,Electronics,Apple,Raleigh
16,PROD_00016,MacBook Air M2,Electronics,Apple,Virginia Beach
17,PROD_00017,iPad Pro,Electronics,Apple,Oakland
18,PROD_00018,Apple Watch Series 7,Electronics,Apple,Las Vegas
19,PROD_00019,AirPods Pro,Electronics,Apple,Atlanta
20,PROD_00020,HomePod Mini,Electronics,Apple,Long Beach
21,PROD_00021,Magic Keyboard,Electronics,Apple,Colorado Springs
22,PROD_00022,OLED TV,Electronics,LG,Indianapolis
23,PROD_00023,LG Gram Laptop,Electronics,LG,Dallas
24,PROD_00024,V60 ThinQ Smartphone,Electronics,LG,Tulsa
25,PROD_00025,UltraGear Monitor,Electronics,LG,Virginia Beach
26,PROD_00026,LG Tone Free Headphones,Electronics,LG,Houston
27,PROD_00027,LG Smart Speaker,Electronics,LG,Oakland
28,PROD_00028,LG UltraWide Monitor,Electronics,LG,Austin
29,PROD_00029,Lumix GH5,Electronics,Panasonic,Milwaukee
30,PROD_00030,Cordless Vacuum,Electronics,Panasonic,Oklahoma City
31,PROD_00031,4K Blu-ray Player,Electronics,Panasonic,San Antonio
32,PROD_00032,Smart Fridge,Electronics,Panasonic,Memphis
33,PROD_00033,Portable Speaker,Electronics,Panasonic,Las Vegas
34,PROD_00034,Panasonic Microwave,Electronics,Panasonic,San Diego
35,PROD_00035,Soundbar,Electronics,Panasonic,Seattle
36,PROD_00036,Front Load Washing Machine,Home Appliances,LG,Milwaukee
37,PROD_00037,Smart Refrigerator,Home Appliances,LG,Virginia Beach
38,PROD_00038,Microwave Oven,Home Appliances,LG,Virginia Beach
39,PROD_00039,Dehumidifier,Home Appliances,LG,Columbus
40,PROD_00040,Dishwasher,Home Appliances,LG,Mesa
41,PROD_00041,Air Purifier,Home Appliances,LG,Fort Worth
42,PROD_00042,Cordless Vacuum Cleaner,Home Appliances,LG,Atlanta
43,PROD_00043,Double Door Fridge,Home Appliances,Whirlpool,Colorado Springs
44,PROD_00044,Dishwasher 360,Home Appliances,Whirlpool,Charlotte
45,PROD_00045,Top Load Washer,Home Appliances,Whirlpool,San Antonio
46,PROD_00046,Air Cooler,Home Appliances,Whirlpool,San Antonio
47,PROD_00047,Smart Air Fryer,Home Appliances,Whirlpool,Tampa
48,PROD_00048,Washing Machine,Home Appliances,Whirlpool,San Antonio
49,PROD_00049,Induction Cooktop,Home Appliances,Whirlpool,Detroit
50,PROD_00050,Series 4 Dishwasher,Home Appliances,Bosch,Omaha
51,PROD_00051,Built-in Oven,Home Appliances,Bosch,Columbus
52,PROD_00052,Cooktop 700,Home Appliances,Bosch,Sacramento
53,PROD_00053,Bosch Refrigerator,Home Appliances,Bosch,Baltimore
54,PROD_00054,Washer Dryer,Home Appliances,Bosch,Phoenix
55,PROD_00055,Smart Coffee Maker,Home Appliances,Bosch,Tucson
56,PROD_00056,Dishwasher Detergent,Home Appliances,Bosch,Minneapolis
57,PROD_00057,Convertible Refrigerator,Home Appliances,Samsung,Miami
58,PROD_00058,Samsung Washing Machine,Home Appliances,Samsung,Mesa
59,PROD_00059,Dishwasher,Home Appliances,Samsung,Raleigh
60,PROD_00060,Dual Cook Oven,Home Appliances,Samsung,Atlanta
61,PROD_00061,Smart Oven,Home Appliances,Samsung,Charlotte
62,PROD_00062,Smart Air Fryer,Home Appliances,Samsung,Chicago
63,PROD_00063,Food Processor,Home Appliances,Samsung,Sacramento
64,PROD_00064,Top Load Washing Machine,Home Appliances,Haier,Albuquerque
65,PROD_00065,Air Cooler,Home Appliances,Haier,Austin
66,PROD_00066,Oven Toaster Grill,Home Appliances,Haier,Albuquerque
67,PROD_00067,Deep Freezer,Home Appliances,Haier,Fort Worth
68,PROD_00068,Dehumidifier,Home Appliances,Haier,Milwaukee
69,PROD_00069,Water Purifier,Home Appliances,Haier,Las Vegas
70,PROD_00070,Ice Maker,Home Appliances,Haier,Jacksonville
71,PROD_00071,Air Max 90,Clothing,Nike,San Antonio
72,PROD_00072,Dri-FIT T-Shirt,Clothing,Nike,New Orleans
73,PROD_00073,Running Shorts,Clothing,Nike,Memphis
74,PROD_00074,Nike Jacket,Clothing,Nike,Columbus
75,PROD_00075,Air Force 1 Sneakers,Clothing,Nike,San Diego
76,PROD_00076,Compression Socks,Clothing,Nike,Jacksonville
77,PROD_00077,Nike Hoodies,Clothing,Nike,New Orleans
78,PROD_00078,Ultraboost 22,Clothing,Adidas,San Jose
79,PROD_00079,Climalite Jacket,Clothing,Adidas,Fort Worth
80,PROD_00080,Training Pants,Clothing,Adidas,Boston
81,PROD_00081,Superstar Sneakers,Clothing,Adidas,Los Angeles
82,PROD_00082,Adidas 3-Stripes,Clothing,Adidas,Minneapolis
83,PROD_00083,Running Tights,Clothing,Adidas,Washington
84,PROD_00084,Adidas Football Shirt,Clothing,Adidas,Dallas
85,PROD_00085,Slim Fit Shirt,Clothing,Zara,Columbus
86,PROD_00086,Casual Blazer,Clothing,Zara,Tampa
87,PROD_00087,Chino Trousers,Clothing,Zara,Austin
88,PROD_00088,Belted Coat,Clothing,Zara,Kansas City
89,PROD_00089,Puffer Jacket,Clothing,Zara,Tampa
90,PROD_00090,Patterned Dress,Clothing,Zara,El Paso
91,PROD_00091,High-Waist Pants,Clothing,Zara,Phoenix
92,PROD_00092,Clyde Sneakers,Clothing,Puma,Tulsa
93,PROD_00093,Puma Tracksuit,Clothing,Puma,Austin
94,PROD_00094,Training Shirt,Clothing,Puma,Omaha
95,PROD_00095,Running Shoes,Clothing,Puma,Virginia Beach
96,PROD_00096,Puma Hoodie,Clothing,Puma,Colorado Springs
97,PROD_00097,Puma Socks,Clothing,Puma,Louisville
98,PROD_00098,Puma Capri Pants,Clothing,Puma,Denver
99,PROD_00099,501 Original Jeans,Clothing,Levi's,Memphis
