payment_id,order_id,customer_id,payment_date,payment_method,amount,status,processor_fee,net_amount,currency,region,category
1,1,71,2023-08-17,Debit Card,69.52,completed,1.46,68.06,USD,South,Food
2,2,140,2024-08-27,Credit Card,1359.88,completed,39.76,1320.12,USD,West,Electronics
3,3,60,2024-09-10,Debit Card,51.38,completed,0.94,50.44,USD,North,Books
4,4,180,2024-03-05,Crypto,2516.01,pending,25.27,0.0,USD,South,Sports
5,5,2,2023-06-16,Credit Card,2711.3,completed,78.84,2632.46,USD,West,Home & Garden
6,6,196,2023-04-15,PayPal,737.64,completed,25.3,712.34,USD,North,Sports
7,7,89,2023-09-30,PayPal,730.76,completed,25.31,705.45,USD,North,Food
8,8,97,2024-07-19,Debit Card,4056.45,completed,61.28,3995.17,USD,East,Food
9,9,93,2023-07-19,Debit Card,8866.0,completed,133.28,8732.72,USD,North,Electronics
10,10,21,2023-04-17,Debit Card,3101.36,completed,46.94,3054.42,USD,West,Home & Garden
11,11,94,2024-01-18,Debit Card,4794.9,completed,72.06,4722.84,USD,East,Clothing
12,12,175,2023-03-16,Debit Card,3171.6,failed,47.93,0.0,USD,Central,Food
13,13,63,2024-04-18,PayPal,1616.4,completed,55.17,1561.23,USD,West,Home & Garden
14,14,84,2023-03-02,Debit Card,2046.78,pending,30.92,0.0,USD,South,Electronics
15,15,17,2024-08-05,Crypto,2239.38,completed,22.83,2216.55,USD,East,Clothing
16,16,165,2023-05-27,Debit Card,3213.44,completed,48.52,3164.92,USD,East,Clothing
17,17,138,2024-08-24,Bank Transfer,2990.16,completed,15.22,2974.94,USD,West,Books
18,18,36,2024-05-22,Debit Card,2394.47,completed,36.16,2358.31,USD,North,Electronics
19,19,41,2024-03-08,Debit Card,322.64,completed,4.99,317.65,USD,Central,Electronics
20,20,120,2023-09-16,PayPal,2520.7,completed,86.14,2434.56,USD,Central,Electronics
21,21,138,2023-10-03,Credit Card,1369.8,completed,39.95,1329.85,USD,East,Electronics
22,22,117,2023-09-30,PayPal,2202.1,completed,75.22,2126.88,USD,Central,Clothing
23,23,161,2024-10-17,Credit Card,7764.75,failed,225.36,0.0,USD,Central,Books
24,24,196,2024-07-08,Credit Card,564.62,refunded,16.82,0.0,USD,Central,Electronics
25,25,5,2024-01-07,Credit Card,3309.2,completed,96.22,3212.98,USD,East,Clothing
26,26,146,2023-04-01,Credit Card,248.46,completed,7.58,240.88,USD,West,Electronics
27,27,33,2024-05-04,Bank Transfer,6913.62,failed,34.79,0.0,USD,Central,Clothing
28,28,156,2023-08-08,PayPal,2395.8,completed,81.88,2313.92,USD,Central,Food
29,29,103,2024-10-28,Credit Card,2505.37,completed,72.8,2432.57,USD,East,Sports
30,30,64,2023-03-07,Credit Card,3884.33,failed,112.83,0.0,USD,East,Electronics
